job_id,skill_id
4300,1
4300,12
4300,31
4331,14
4331,10
4331,11
4364,0
4375,1
4388,0
4451,26
4451,0
4451,1
4451,4
4451,3
4454,1
4454,5
4454,7
4454,186
4461,1
4461,0
4461,2
4462,0
4464,0
4469,5
4469,26
4472,0
4472,29
4483,1
4483,0
4544,1
4544,0
4544,2
4550,4
4550,1
4554,16
4554,0
4554,7
4554,186
4621,1
4621,5
4621,0
4621,26
4650,3
4650,1
4650,4
4668,8
4668,0
4730,0
4730,2
4730,18
4730,62
4734,0
4734,1
4753,1
4768,0
4768,23
4768,4
4768,25
4768,33
4768,14
4768,34
4768,1
4797,1
4797,8
4807,0
4807,1
4807,5
4836,1
4859,0
4859,4
4859,1
4876,0
4951,0
4951,7
4951,186
4951,23
4951,1
4951,5
4967,0
4967,5
4967,1
4974,1
4974,5
4974,0
4974,7
4974,186
5006,14
5006,0
5020,1
5020,6
5027,7
5027,186
5027,15
5030,0
5030,1
5030,8
5042,5
5050,1
5068,1
5155,5
5187,1
5196,0
5217,0
5217,1
5217,5
5299,0
5309,5
5309,1
5402,1
5402,4
5402,3
5402,0
5429,0
5485,0
5485,5
5485,7
5485,186
5485,1
5485,4
5488,26
5532,1
5532,4
5532,3
5532,0
5532,2
5532,18
5532,62
5602,4
5602,13
5602,3
5602,0
5602,1
5620,1
5620,5
5620,3
5620,0
5635,1
5635,0
5646,1
5646,0
5699,1
5699,35
5701,0
5701,1
5701,4
5783,3
5783,1
5783,5
5783,0
5783,15
5796,0
5796,1
5796,4
5815,0
5815,7
5815,186
5815,16
5888,0
5888,1
5888,4
5888,30
5888,144
5898,1
5898,5
5898,0
5898,12
5920,1
5920,0
5943,1
5973,0
5975,16
5975,0
5987,0
5987,1
5987,5
5987,15
5999,0
6018,1
6018,5
6036,3
6036,1
6036,4
6066,0
6075,1
6075,5
6075,0
6129,0
6129,6
6129,4
6129,1
6129,3
6156,1
6156,0
6160,0
6160,1
6160,4
6160,6
6204,1
6218,1
6226,1
6226,0
6226,8
6238,1
6246,3
6246,4
6246,1
6246,0
6295,0
6308,0
6308,1
6327,0
6327,1
6333,1
6336,0
6336,1
6360,1
6360,0
6361,0
6406,1
6406,3
6417,3
6419,5
6419,1
6419,7
6419,186
6443,12
6443,1
6443,4
6479,7
6479,186
6479,1
6479,0
6483,0
6483,1
6491,1
6518,1
6518,0
6612,0
6612,22
6616,0
6616,1
6721,1
6727,0
6727,1
6741,1
6741,5
6741,0
6803,8
6803,1
6810,1
6810,0
6810,4
6810,12
6810,6
6813,0
6813,1
6813,28
6827,0
6827,2
6827,18
6827,62
6877,1
6877,5
6877,0
6944,0
6944,1
6966,2
6966,1
6966,4
6966,3
6966,5
6966,0
6966,16
6975,1
6975,0
7013,1
7013,0
7040,0
7040,1
7046,0
7049,0
7055,0
7057,0
7057,1
7057,5
7057,4
7057,13
7091,1
7104,8
7113,0
7113,1
7120,0
7120,1
7154,1
7154,3
7154,0
7162,0
7171,9
7171,30
7171,144
7171,1
7201,23
7201,0
7204,1
7204,5
7204,22
7204,0
7204,4
7224,1
7224,0
7224,4
7224,12
7224,6
7281,1
7281,22
7340,8
7340,1
7389,1
7402,0
7402,2
7402,1
